0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:08 +0100] "GET /OneRelease/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:09 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 59914
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:26 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 50470
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:29 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 29427
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:31 +0100] "GET /OneRelease/m/Project?init=true HTTP/1.1" 200 12783
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/dwr/interface/Modules.js?ox=6.5.3 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/dwr/interface/Folders.js?ox=6.5.3 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/dwr/interface/Module.js?ox=6.5.3 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/dwr/interface/Tab.js?ox=6.5.3 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/dwr/interface/View.js?ox=6.5.3 HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/xava/editors/flatpickr/en.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "POST /OneRelease/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:32 +0100] "GET /OneRelease/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:33 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 24020
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:34 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 133991
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:38 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 15468
0:0:0:0:0:0:0:1 - - [21/Oct/2021:02:21:39 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 8633
